state,stateSymbol,maskDate1,isMaskRequired1,maskDate2,isMaskRequired2,maskDate3,isMaskRequired3,schoolClosure_m1,banGathering_m1,resturantLimit_m1,stayAtHome_m1,nonEssenBussiness_m1,travelQuarantine_m1,barClosure_m1,schoolClosure_e1,banGathering_e1,resturantLimit_e1,stayAtHome_e1,nonEssenBussiness_e1,travelQuarantine_e1,barClosure_e1,schoolClosure_m2,banGathering_m2,resturantLimit_m2,stayAtHome_m2,nonEssenBussiness_m2,travelQuarantine_m2,barClosure_m2,schoolClosure_e2,banGathering_e2,resturantLimit_e2,stayAtHome_e2,nonEssenBussiness_e2,travelQuarantine_e2,barClosure_e2,mean_m1,mean_e1,mean_m2,mean_e2
Alabama,AL,04/28/2020,0,07/16/2020,1,,,03/27/2020,03/27/2020,03/27/2020,03/27/2020,03/27/2020,,,,,,04/30/2020,,,,,,,,,,,,,,,,,,03/27/2020,04/30/2020,,
Alaska,AK,04/20/2020,0,,,,,03/13/2020,03/20/2020,03/18/2020,03/17/2020,03/17/2020,03/28/2020,,,04/24/2020,04/24/2020,04/24/2020,04/24/2020,,,,,,,,11/16/2020,,,,,,,,,03/18/2020,04/24/2020,11/16/2020,
Arizona,AZ,03/30/2020,0,,,,,03/16/2020,03/30/2020,03/19/2020,03/30/2020,03/30/2020,04/07/2020,,,,,05/16/2020,05/08/2020,,,,06/29/2020,07/11/2020,,07/23/2020,,,,,,,,,,03/27/2020,05/12/2020,07/11/2020,
Arkansas,AR,05/04/2020,1,,,,,03/11/2020,03/26/2020,03/11/2020,,,05/14/2020,,,06/15/2020,05/11/2020,,,06/15/2020,,,01/02/2021,11/20/2020,,,,,,,,,,,,03/30/2020,06/03/2020,12/11/2020,
California,CA,06/18/2020,1,,,,,,03/16/2020,03/16/2020,03/19/2020,03/19/2020,,,,10/09/2020,05/08/2020,,05/11/2020,,,,,07/01/2020,11/21/2020,,,,,,01/25/2020,01/25/2020,,,,03/17/2020,06/29/2020,09/10/2020,01/25/2020
Colorado,CO,07/17/2020,1,,,,,03/18/2020,04/26/2020,03/16/2020,03/26/2020,,,,04/27/2020,06/01/2020,05/27/2020,,06/18/2020,,,,,,,07/21/2020,,06/30/2020,,,,,,,,03/29/2020,05/26/2020,07/10/2020,
Connecticut,CT,04/17/2020,1,,,,,03/11/2020,03/16/2020,03/16/2020,03/23/2020,03/20/2020,06/24/2020,09/25/2020,,06/17/2020,05/20/2020,05/20/2020,05/20/2020,,,,11/06/2020,11/06/2020,,11/06/2020,,,,,,,,,,04/27/2020,05/27/2020,11/06/2020,
Delaware,DE,04/28/2020,1,,,,,03/13/2020,03/16/2020,03/16/2020,03/22/2020,03/22/2020,03/29/2020,07/01/2020,,,,,02/12/2020,,,,,,,,,,,,,,,,,04/03/2020,02/12/2020,,
Florida,FL,06/05/2020,0,,,,,03/17/2020,04/01/2020,03/17/2020,04/01/2020,04/01/2020,03/24/2020,,,,05/29/2020,05/04/2020,06/22/2020,06/05/2020,06/26/2020,,,,,,,,,,,,,,,03/25/2020,06/04/2020,,
Georgia,GA,04/13/2020,0,,,,,03/16/2020,03/23/2020,03/23/2020,03/23/2020,,,,,06/16/2020,04/27/2020,05/01/2020,04/24/2020,,,,,,,,,,,,,,,,,03/21/2020,05/09/2020,,
Hawaii,HI,04/17/2020,1,,,,,03/15/2020,03/17/2020,03/17/2020,03/17/2020,,03/17/2020,,,06/19/2020,06/01/2020,06/10/2020,05/07/2020,06/16/2020,,,08/19/2020,,08/26/2020,08/23/2020,08/07/2020,,,10/22/2020,,10/22/2020,10/22/2020,,,03/16/2020,06/04/2020,08/18/2020,10/22/2020
Idaho,ID,06/13/2020,0,,,,,03/25/2020,03/25/2020,03/25/2020,03/19/2020,03/25/2020,04/15/2020,,,05/01/2020,05/16/2020,05/01/2020,05/01/2020,,,,10/26/2020,,,,,,,02/02/2021,02/02/2021,02/02/2021,02/02/2021,,,03/27/2020,05/04/2020,10/26/2020,02/02/2021
Illinois,IL,04/30/2020,1,,,,,03/13/2020,03/20/2020,03/20/2020,03/20/2020,03/20/2020,,,,05/29/2020,05/05/2020,05/05/2020,05/05/2020,,,,08/18/2020,08/18/2020,,01/15/2021,,,,,,,,,,03/18/2020,05/11/2020,10/07/2020,
Indiana,IN,07/22/2020,1,,,,,03/19/2020,03/23/2020,03/16/2020,03/23/2020,03/23/2020,,,,05/04/2020,05/11/2020,05/04/2020,05/04/2020,,,,11/15/2020,,,,,,,,,,,,,03/20/2020,05/05/2020,11/15/2020,
Iowa,IA,11/01/2020,1,02/05/2021,0,,,03/15/2020,03/17/2020,03/17/2020,,03/26/2020,,,,11/11/2020,05/01/2020,,05/01/2020,,08/07/2020,,11/11/2020,11/11/2020,,11/11/2020,,08/27/2020,,,,,,,,03/18/2020,07/13/2020,10/23/2020,
Kansas,KS,07/03/2020,1,,,,,03/17/2020,03/17/2020,03/17/2020,03/23/2020,03/23/2020,03/23/2020,,,,,,,,,,,,,,,,,,,,,,,03/20/2020,#DIV/0!,,
Kentucky,KY,05/11/2020,1,,,,,03/16/2020,03/19/2020,03/16/2020,,03/23/2020,03/30/2020,,,05/25/2020,05/22/2020,,05/11/2020,05/06/2020,,,07/20/2020,07/27/2020,,11/20/2020,,07/27/2020,,,,,,,,03/20/2020,05/16/2020,08/23/2020,
Louisiana,LA,05/15/2020,1,,,,,03/13/2020,03/22/2020,03/16/2020,03/22/2020,03/22/2020,,,,07/13/2020,06/05/2020,05/15/2020,05/15/2020,,07/13/2020,,11/24/2020,11/24/2020,,11/24/2020,,11/24/2020,,,,,,,,03/19/2020,06/11/2020,11/24/2020,
Maine,ME,05/01/2020,1,11/04/2020,1,,,03/31/2020,03/18/2020,03/18/2020,,03/24/2020,,,,06/01/2020,05/29/2020,05/31/2020,05/01/2020,,,,11/01/2020,11/01/2020,,,11/01/2020,11/01/2020,,,02/01/2020,,02/01/2020,,02/01/2020,03/22/2020,05/23/2020,11/01/2020,02/01/2020
Maryland,MD,04/15/2020,1,,,,,03/16/2020,03/16/2020,03/16/2020,03/30/2020,03/23/2020,03/30/2020,,,,,05/15/2020,05/15/2020,05/15/2020,,,,11/10/2020,,11/20/2020,12/18/2020,,,,02/01/2021,,,,02/01/2021,03/21/2020,05/15/2020,11/26/2020,02/01/2021
Massachusetts,MA,05/06/2020,1,,,,,03/15/2020,03/23/2020,03/15/2020,,03/23/2020,03/27/2020,03/15/2020,,06/08/2020,,,05/19/2020,,,,08/11/2020,08/11/2020,,08/11/2020,,,,,,,,,,03/19/2020,05/29/2020,08/11/2020,
Michigan,MI,05/18/2020,0,07/17/2020,1,,,03/16/2020,03/23/2020,03/23/2020,03/23/2020,03/23/2020,,,,05/21/2020,05/22/2020,06/01/2020,04/24/2020,,,,07/31/2020,,,,,07/01/2020,,,,,,,,03/21/2020,05/17/2020,07/16/2020,
Minnesota,MN,04/30/2020,0,07/25/2020,1,,,03/15/2020,,03/16/2020,03/25/2020,,,03/16/2020,,06/10/2020,06/01/2020,05/18/2020,04/27/2020,,06/20/2020,,11/13/2020,11/13/2020,,,,11/13/2020,,01/10/2021,02/13/2020,,01/10/2021,,01/10/2021,03/18/2020,05/27/2020,11/13/2020,10/19/2020
Mississippi,MS,07/13/2020,1,09/30/2020,0,10/19/2021,1,03/19/2020,03/24/2020,03/24/2020,03/31/2020,,,03/24/2020,,,05/07/2020,04/27/2020,04/27/2020,,05/07/2020,,07/13/2020,09/14/2020,,,,07/24/2020,,,,,,,,03/24/2020,05/02/2020,08/06/2020,
Missouri,MO,,0,,,,,03/21/2020,03/21/2020,03/21/2020,04/03/2020,04/03/2020,,03/21/2020,,,05/04/2020,,,05/04/2020,05/04/2020,,,,,,,,,,,,,,,03/25/2020,05/04/2020,,
Montana,MT,06/15/2020,1,02/12/2021,0,,,03/15/2020,03/24/2020,03/20/2020,03/26/2020,03/26/2020,03/30/2020,,,05/07/2020,05/04/2020,04/26/2020,04/26/2020,05/19/2020,,,11/07/2020,11/07/2020,,11/07/2020,,11/07/2020,,,,,,,,03/23/2020,05/04/2020,11/07/2020,
Nebraska,NE,05/21/2020,0,,,,,03/19/2020,03/19/2020,03/19/2020,,,,03/19/2020,,06/01/2020,05/04/2020,,,,05/04/2020,,10/21/2020,11/11/2020,,11/11/2020,,11/11/2020,,,,,,,,03/19/2020,05/13/2020,11/05/2020,
Nevada,NV,06/24/2020,1,,,,,03/15/2020,03/15/2020,03/17/2020,04/01/2020,03/20/2020,,03/17/2020,,05/29/2020,05/09/2020,05/29/2020,05/09/2020,,05/09/2020,,11/05/2020,11/24/2020,,11/24/2020,,11/24/2020,,,,,,,,03/19/2020,05/17/2020,11/19/2020,
NewHampshire,NH,08/11/2020,0,11/20/2020,1,,,03/15/2020,03/16/2020,03/16/2020,03/26/2020,,,03/16/2020,,06/01/2020,05/18/2020,06/01/2020,06/01/2020,05/11/2020,05/18/2020,,,,,,11/14/2020,,,,,,,,,03/17/2020,05/23/2020,11/14/2020,
NewJersey,NJ,04/08/2020,0,07/08/2020,1,,,03/16/2020,03/16/2020,03/16/2020,03/21/2020,03/21/2020,06/24/2020,03/16/2020,,05/13/2020,05/18/2020,,05/18/2020,,,,08/03/2020,,,,,,,,,,,,,03/31/2020,05/16/2020,08/03/2020,
NewMexico,NM,05/05/2020,0,05/15/2020,1,,,03/13/2020,03/16/2020,03/15/2020,03/23/2020,03/23/2020,03/27/2020,,,05/15/2020,06/12/2020,,05/15/2020,09/03/2020,,,10/16/2020,12/02/2020,10/23/2020,11/13/2020,,12/02/2020,,,,,,,,03/19/2020,06/18/2020,11/10/2020,
NewYork,NY,04/17/2020,1,,,,,03/16/2020,03/20/2020,03/14/2020,03/20/2020,03/20/2020,06/24/2020,,,05/22/2020,06/06/2020,,05/24/2020,,,,,11/13/2020,,12/11/2020,,11/13/2020,,,,,,,,04/03/2020,05/27/2020,11/22/2020,
NorthCarolina,NC,06/26/2020,1,,,,,03/14/2020,03/14/2020,03/14/2020,03/27/2020,03/27/2020,,,,09/01/2020,05/22/2020,05/22/2020,05/08/2020,,,,11/11/2020,07/31/2020,12/11/2020,12/11/2020,,12/11/2020,,,,,,,,03/19/2020,06/13/2020,11/08/2020,
NorthDakota,ND,11/13/2020,1,,,,,03/15/2020,,,,04/02/2020,03/28/2020,,,,05/01/2020,,05/01/2020,09/21/2020,,,10/16/2020,11/13/2020,,,,,,,,,,,,03/25/2020,06/17/2020,10/30/2020,
Ohio,OH,04/30/2020,0,07/23/2020,1,,,03/12/2020,03/22/2020,03/15/2020,,03/22/2020,03/22/2020,,,05/29/2020,05/15/2020,05/20/2020,05/01/2020,,,,11/17/2020,11/19/2020,11/19/2020,,,07/30/2020,,,,,,,,03/18/2020,05/16/2020,10/21/2020,
Oklahoma,OK,07/17/2020,1,,,,,03/16/2020,03/24/2020,,03/24/2020,03/24/2020,03/29/2020,,,05/01/2020,05/01/2020,05/12/2020,04/24/2020,05/12/2020,,,12/14/2020,11/19/2020,,,,11/19/2020,,,,,,,,03/23/2020,05/04/2020,11/27/2020,
Oregon,OR,07/01/2020,1,,,,,03/17/2020,,03/16/2020,03/23/2020,,,,,05/15/2020,05/15/2020,06/05/2020,05/15/2020,,,,07/15/2020,07/24/2020,,,,,,,,,,,,03/18/2020,05/20/2020,07/19/2020,
Pennsylvania,PA,11/18/2020,1,,,,,03/13/2020,03/24/2020,03/16/2020,03/24/2020,03/19/2020,,,,05/08/2020,05/27/2020,05/08/2020,05/08/2020,,,,07/06/2020,07/06/2020,,11/25/2020,,11/25/2020,,,,,,,,03/19/2020,05/12/2020,09/15/2020,
RhodeIsland,RI,05/08/2020,1,,,,,03/18/2020,03/16/2020,03/16/2020,03/13/2020,,03/28/2020,,,,06/01/2020,05/09/2020,05/09/2020,,,,10/30/2020,11/08/2020,,11/08/2020,,08/07/2020,,,,,,,,03/18/2020,05/16/2020,10/13/2020,
SouthCarolina,SC,,0,,,,,03/15/2020,03/17/2020,,04/06/2020,03/31/2020,03/27/2020,,,,05/01/2020,05/04/2020,04/20/2020,,,,11/25/2020,11/25/2020,,,,07/11/2020,,,,,,,,03/25/2020,04/28/2020,10/10/2020,
SouthDakota,SD,,0,,,,,03/16/2020,03/23/2020,,,,,,,04/28/2020,,,,,,,12/20/2020,,,,,,,,,,,,,03/19/2020,04/28/2020,12/20/2020,
Tennessee,TN,07/03/2020,0,,,,,03/20/2020,03/23/2020,03/23/2020,03/31/2020,03/31/2020,,,,05/22/2020,04/29/2020,04/29/2020,04/29/2020,,,,06/26/2020,06/26/2020,,,,06/26/2020,,,,,,,,03/25/2020,05/04/2020,06/26/2020,
Texas,TX,06/24/2020,0,07/02/2020,1,,,03/20/2020,,,04/02/2020,03/19/2020,03/30/2020,,,05/01/2020,05/01/2020,,05/08/2020,05/21/2020,,,11/09/2020,11/09/2020,,,,11/09/2020,,,,,,,,03/25/2020,05/07/2020,11/09/2020,
Utah,UT,12/17/2020,1,,,,,03/16/2020,03/18/2020,03/18/2020,03/27/2020,,,,,05/01/2020,,05/01/2020,,05/01/2020,,,,,,,,,,,,,,,,03/19/2020,05/01/2020,,
Vermont,VT,08/01/2020,1,,,,,03/18/2020,03/24/2020,03/17/2020,03/24/2020,03/24/2020,03/30/2020,,,06/01/2020,05/22/2020,05/15/2020,04/20/2020,06/08/2020,,,11/14/2020,11/14/2020,,,07/01/2020,11/14/2020,,,,,,,,03/22/2020,05/19/2020,10/11/2020,
Virginia,VA,12/14/2020,1,,,,,03/16/2020,03/24/2020,03/24/2020,03/30/2020,03/24/2020,,,,06/15/2020,05/15/2020,,05/15/2020,,,,12/14/2020,,12/14/2020,,,11/13/2020,,,,,,,,03/23/2020,05/25/2020,12/03/2020,
Washington,WA,06/26/2020,1,,,,,03/17/2020,03/16/2020,03/16/2020,03/23/2020,03/23/2020,,,,05/11/2020,05/11/2020,,05/14/2020,,,,07/31/2020,07/31/2020,,11/16/2020,12/21/2020,07/31/2020,,,,,,,,03/19/2020,05/12/2020,09/19/2020,
WestVirginia,WV,11/14/2020,1,,,,,03/13/2020,03/24/2020,03/17/2020,03/24/2020,03/24/2020,,,,05/04/2020,05/04/2020,05/04/2020,05/04/2020,05/04/2020,,,07/14/2020,,,,,,,,,,,,,03/20/2020,05/04/2020,07/14/2020,
Wisconsin,WI,08/01/2020,1,,,,,03/18/2020,03/17/2020,03/17/2020,03/25/2020,03/25/2020,,,,05/13/2020,05/13/2020,05/13/2020,04/24/2020,,,,,,,,,,,,,,,,,03/20/2020,05/08/2020,,
Wyoming,WY,12/09/2020,1,,,,,03/20/2020,03/21/2020,03/20/2020,,,04/03/2020,,,05/15/2020,05/15/2020,,,,,,12/09/2020,12/09/2020,12/09/2020,12/09/2020,,,,,,,,,,03/23/2020,05/15/2020,12/09/2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
